,Labels,First Fit Score,First Fit Times,First Fit Decreasing Score,First Fit Decreasing Times,Next Fit Score,Next Fit Times,Next Fit Decreasing Score,Next Fit Decreasing Times,Best Fit Score,Best Fit Times,Best Fit Decreasing Score,Best Fit Decreasing Times,Djang-Fitch Score,Djang-Fitch Times,Djang-Fitch 2 Score,Djang-Fitch 2 Times
0,"(0, 1, 1, 28, 5, 5, 20)",0.3725069363802,0.188957,0.58677389665575,187351000,0.3368849158406,0.182342,0.52440097623525,0.147542,0.37349219304860004,0.36484900000000003,0.58677389665575,0.481478,0.58677389665575,0.9856860000000001,0.58677389665575,1.013044
1,"(0, 1, 1, 28, 8, 9, 13)",0.3949397116725,0.16401300000000002,0.5925067988670001,176237000,0.3828201559745,0.19299200000000002,0.5527383658134,0.17767100000000002,0.39446390015450006,0.336208,0.5786151881306,0.363165,0.5925067988670001,0.6517280000000001,0.5925067988670001,0.519644
2,"(0, 2, 1, 27, 6, 8, 16)",0.4416393898434,0.13615000000000002,0.5342151608854001,122801000,0.43976400230859997,0.13378700000000002,0.476395946057,0.132978,0.44726625107219997,0.33202800000000005,0.5195604479658,0.42015800000000003,0.5342151608854001,0.9520850000000001,0.5342151608854001,1.014917
3,"(0, 1, 2, 27, 10, 8, 12)",0.4780594716842,0.136546,0.49382702739180007,137381000,0.4581592477574,0.13142700000000002,0.45674560205979997,0.11851900000000001,0.4600577750674001,0.36039600000000005,0.49547874858780006,0.353679,0.49382702739180007,0.8496640000000001,0.49382702739180007,0.6870700000000001
4,"(0, 3, 2, 25, 9, 12, 9)",0.4972142212176667,0.126228,0.7014136500847999,106745000,0.3779780494282857,0.136752,0.5250991593963333,0.152978,0.5036192062763333,0.371643,0.5800813526136667,0.48740000000000006,0.7014136500847999,0.813778,0.7014136500847999,1.0530190000000001
5,"(0, 0, 0, 30, 2, 9, 19)",0.437280865431,0.133637,0.4881105322435,119643000,0.2942566625952,0.12867800000000001,0.4329250747015,0.12106900000000001,0.437280865431,0.338795,0.4881105322435,0.273498,0.4881105322435,0.734209,0.4881105322435,0.522425
6,"(0, 2, 0, 28, 6, 10, 14)",0.4808921024449999,0.127705,0.5362620183793999,98298000,0.45715998731339996,0.12551400000000001,0.71436944935575,0.11027600000000001,0.48133887166659994,0.270977,0.5362620183793999,0.360509,0.5362620183793999,0.8718990000000001,0.5362620183793999,0.927142
7,"(0, 1, 0, 29, 6, 8, 16)",0.32159649868439993,0.143902,0.5630840970034999,121964000,0.3162093914288,0.145431,0.515385736177,0.13531400000000002,0.32159649868439993,0.31719600000000003,0.5469511588145,0.312539,0.5630840970034999,0.758961,0.5630840970034999,0.5382170000000001
8,"(0, 0, 2, 28, 6, 5, 19)",0.40833532190224997,0.14821,0.48408595810875,124111000,0.4072796838982501,0.13972,0.45404903178825,0.13631300000000002,0.287223502563,0.38629600000000003,0.48408595810875,0.384322,0.48408595810875,0.735005,0.48408595810875,0.49635300000000004
9,"(0, 0, 3, 27, 8, 8, 14)",0.4185638916628,0.138526,0.4653873706024001,125092000,0.40592455978200004,0.134381,0.40771657573160003,0.109418,0.416887497706,0.34498700000000004,0.47204319140080003,0.43361200000000005,0.4653873706024001,0.905645,0.4653873706024001,0.940257
