,Labels,First Fit Score,First Fit Times,First Fit Decreasing Score,First Fit Decreasing Times,Next Fit Score,Next Fit Times,Next Fit Decreasing Score,Next Fit Decreasing Times,Best Fit Score,Best Fit Times,Best Fit Decreasing Score,Best Fit Decreasing Times,Djang-Fitch Score,Djang-Fitch Times,Djang-Fitch 2 Score,Djang-Fitch 2 Times
0,"(0, 0, 1, 29, 8, 12, 10, 1)",0.3874518447424,0.17117100000000002,0.4174221793728,0.136083,0.3666830992036,0.13993,0.36853051722400004,0.140629,0.3874518447424,0.324332,0.41756237555000003,0.46899,0.4174221793728,0.951563,0.4174221793728,0.46879400000000004
1,"(0, 2, 2, 26, 8, 6, 16, 1)",0.28617266465514285,0.160382,0.5734610905427999,0.115384,0.28663151592771424,0.15501500000000001,0.4126080711436666,0.14155900000000002,0.2908214390905714,0.33183,0.5497596575196001,0.41049,0.5734610905427999,0.8629910000000001,0.5734610905427999,1.029428
2,"(0, 1, 5, 24, 9, 8, 13, 1)",0.33156512150114287,0.12393200000000001,0.5874681595124001,0.109146,0.4129562248336667,0.132101,0.5612798310796,0.116329,0.33193228938685715,0.381095,0.604800405278,0.32038300000000003,0.5874681595124001,0.718214,0.5874681595124001,1.0311460000000001
3,"(0, 2, 1, 27, 6, 8, 16, 1)",0.33730836363916666,0.117706,0.5114756394694,0.10813400000000001,0.31318390716850003,0.14269800000000002,0.4712473840694001,0.12593500000000002,0.33734027978916664,0.360551,0.5204476792313999,0.600037,0.5114756394694,0.9552750000000001,0.5114756394694,0.9256660000000001
4,"(0, 2, 0, 28, 10, 4, 16, 1)",0.4669984853443999,0.13137400000000002,0.5304954832952,0.10418400000000001,0.32541319784466666,0.136058,0.46358620136719997,0.130358,0.47174579759119994,0.28576,0.5306118623912,0.500899,0.5304954832952,1.089772,0.5304954832952,1.019991
5,"(0, 0, 2, 28, 10, 9, 11, 1)",0.4248693542332,0.126837,0.4700154366512,0.11761700000000001,0.3012906566643333,0.132359,0.43625873652319996,0.137169,0.41634288246280005,0.3779,0.4700154366512,0.422076,0.4700154366512,0.6445580000000001,0.4700154366512,0.6199490000000001
6,"(0, 1, 3, 26, 7, 8, 15, 1)",0.4038300918902,0.12485900000000001,0.6297642302872499,0.104754,0.4002385673557999,0.131198,0.4056342764126001,0.11045100000000001,0.41143542026300006,0.32706100000000005,0.6297642302872499,0.32524200000000003,0.6297642302872499,0.744761,0.6297642302872499,0.528911
7,"(0, 1, 0, 29, 9, 4, 17, 1)",0.29053572639459996,0.13655,0.51260292878875,0.119676,0.2897847188282,0.142853,0.31812668957699997,0.134251,0.29850506251660003,0.44084900000000005,0.51260292878875,0.37756500000000004,0.51260292878875,0.725179,0.51260292878875,0.467125
8,"(0, 0, 6, 24, 9, 10, 11, 1)",0.3792818601945714,0.11886100000000001,0.5783696220383333,0.10758100000000001,0.284005414356,0.126941,0.5338905440246667,0.125334,0.37447724408,0.372835,0.6998889425747999,0.29464500000000005,0.5783696220383333,0.7131350000000001,0.5783696220383333,0.7108140000000001
9,"(0, 0, 1, 29, 5, 7, 18, 1)",0.3506137693735,0.122965,0.54489169303,0.10053300000000001,0.290026408161,0.14108300000000001,0.49713627949266664,0.114042,0.35798138702050003,0.360868,0.5222998300066667,0.36107100000000003,0.54489169303,0.808392,0.54489169303,0.53527
10,"(0, 2, 0, 28, 5, 9, 16, 1)",0.4278429013952,0.210602,0.5103245371356,0.12143200000000001,0.414205352642,0.13170600000000002,0.6310779688785,0.10334900000000001,0.4190034984648,0.32378,0.652720315582,0.280588,0.5103245371356,1.032027,0.5103245371356,1.229892
11,"(0, 0, 1, 29, 5, 6, 19, 1)",0.3211014831398,0.132837,0.51252460274375,0.11851,0.31399168474420003,0.150171,0.47317403121574997,0.124143,0.3213657160178,0.284933,0.51252460274375,0.363449,0.51252460274375,0.698459,0.51252460274375,0.518827
12,"(0, 1, 1, 28, 7, 6, 17, 1)",0.4964147599092,0.11808800000000001,0.5398574242555999,0.121481,0.488183287894,0.13045800000000002,0.4925217870524,0.10347100000000001,0.4882912871988001,0.42724,0.5399279088412,0.366893,0.5398574242555999,0.7747590000000001,0.5398574242555999,0.7589870000000001
13,"(0, 0, 1, 29, 6, 7, 17, 1)",0.4390988853394,0.15024900000000002,0.6058477277982499,0.12194200000000001,0.2898504996355,0.13554000000000002,0.4107577071578,0.13267500000000002,0.4390988853394,0.360236,0.6058477277982499,0.29125100000000004,0.6058477277982499,0.926984,0.6058477277982499,0.44971500000000003
14,"(0, 0, 6, 24, 5, 12, 13, 1)",0.4907824564246,0.12804600000000002,0.5318107214562,0.129391,0.49272642969580005,0.12312200000000001,0.495506470133,0.11422900000000001,0.5037537875534,0.43411500000000003,0.5284814404225999,0.283131,0.5318107214562,0.674791,0.5318107214562,0.9124490000000001
15,"(0, 1, 3, 26, 5, 10, 15, 1)",0.3868210330715,0.126861,0.564455975455,0.144728,0.2711267669232857,0.15018700000000001,0.5210962135834001,0.13567600000000002,0.3748984237938333,0.369159,0.5295137863461999,0.36616400000000004,0.564455975455,0.7539170000000001,0.564455975455,0.800471
16,"(0, 1, 3, 26, 8, 11, 11, 1)",0.4100872609351667,0.110501,0.5699517349078,0.115606,0.37614842003983334,0.12581900000000001,0.3787228578061667,0.101993,0.4131267630558333,0.417526,0.5718612311478,0.38999700000000004,0.5699517349078,0.7463470000000001,0.5699517349078,0.7478
17,"(0, 3, 3, 24, 9, 8, 13, 1)",0.42283118430899996,0.11030200000000001,0.5628094147644,0.12216,0.38669547060966664,0.13114,0.5541888739864,0.122226,0.42621571426366667,0.360746,0.5661933065436,0.42563100000000004,0.5628094147644,1.0355640000000002,0.5628094147644,1.657156
18,"(0, 2, 2, 26, 8, 7, 15, 1)",0.43644392260219994,0.11385300000000001,0.68286951076925,0.09868700000000001,0.4331674746150001,0.12391200000000001,0.64043067726525,0.098745,0.4652228306974,0.45782100000000003,0.67810526534175,0.342219,0.68286951076925,0.680131,0.68286951076925,0.9818300000000001
19,"(0, 0, 1, 29, 8, 9, 13, 1)",0.5922813303322501,0.149435,0.4442666820166,0.127144,0.3854239042482,0.13896,0.3833516760286,0.129055,0.59754391709025,0.362611,0.4442666820166,0.385515,0.4442666820166,0.8544,0.4442666820166,0.46992100000000003
20,"(0, 1, 2, 27, 12, 3, 15, 1)",0.4075478775604999,0.14363,0.5966699043254,0.11552000000000001,0.28517909111899997,0.151833,0.3892985523758334,0.126944,0.4075478775604999,0.32698,0.5991620305026,0.41697300000000004,0.5966699043254,0.7425390000000001,0.5966699043254,1.058831
21,"(0, 2, 4, 24, 9, 7, 14, 1)",0.4685853047868333,0.134527,0.5149183063978333,0.12086200000000001,0.37270093221671435,0.134471,0.4787904857838334,0.10416900000000001,0.4776660707155,0.322554,0.6538845048773999,0.41946,0.5149183063978333,1.0109940000000002,0.5149183063978333,1.6755980000000001
22,"(0, 1, 2, 27, 7, 2, 21, 1)",0.313073587034,0.114389,0.5223973728955,0.119704,0.28684530940639996,0.143353,0.446982680097,0.11869400000000001,0.31479927360439997,0.46632100000000004,0.5223973728955,0.37665400000000004,0.5223973728955,0.8836900000000001,0.5223973728955,0.767224
