,Labels,First Fit Times,First Fit Decreasing Times,Next Fit Times,Next Fit Decreasing Times,Best Fit Times,Best Fit Decreasing Times,Djang-Fitch Times,Djang-Fitch 2 Times
0,"[0.2, 0.15, 0.05, 0.6, 0.5, 0.1, 0.4, 1, 5]",0.014664000000000002,0.00485,0.012888,0.00498,0.016918000000000002,0.031299,0.031184000000000003,0.118134
1,"[0.2, 0.15, 0.05, 0.6, 0.35, 0.2, 0.45, 1, 1]",0.00595,0.004606000000000001,0.005548,0.00494,0.010688000000000001,0.015872,0.022283,0.094252
2,"[0.1, 0.1, 0.25, 0.55, 0.25, 0.2, 0.55, 1, 7]",0.0051790000000000004,0.005233000000000001,0.004893000000000001,0.004443,0.010962000000000001,0.010143000000000001,0.017985,0.031986
3,"[0.1, 0.3, 0.0, 0.6, 0.35, 0.15, 0.5, 1, 5]",0.004717000000000001,0.004602,0.005149,0.004675,0.010255,0.017332,0.02663,0.114086
4,"[0.2, 0.2, 0.15, 0.45, 0.65, 0.2, 0.15, 1, 5]",0.004812,0.005157,0.004675,0.005065,0.008425,0.008362000000000001,0.01924,0.06354900000000001
5,"[0.05, 0.0, 0.1, 0.85, 0.5, 0.2, 0.3, 1, 1]",0.005444,0.004841000000000001,0.005431,0.0045190000000000004,0.007268,0.0070220000000000005,0.017183,0.029768000000000003
6,"[0.2, 0.25, 0.15, 0.4, 0.55, 0.25, 0.2, 1, 5]",0.004649,0.004757,0.005372,0.004520000000000001,0.0112,0.015626,0.020868,0.06922400000000001
7,"[0.15, 0.3, 0.0, 0.55, 0.6, 0.15, 0.25, 1, 5]",0.005248,0.004929,0.004723000000000001,0.0052910000000000006,0.0119,0.011716,0.021976000000000002,0.061926
8,"[0.15, 0.0, 0.15, 0.7, 0.4, 0.25, 0.35, 1, 5]",0.006329,0.00512,0.006155000000000001,0.004893000000000001,0.011083,0.0119,0.021462000000000002,0.054151000000000005
9,"[0.35, 0.1, 0.2, 0.35, 0.65, 0.1, 0.25, 1, 5]",0.0068720000000000005,0.005303,0.006817,0.00536,0.013744000000000001,0.019155000000000002,0.017601000000000002,0.069539
10,"[0.25, 0.25, 0.0, 0.5, 0.55, 0.15, 0.3, 1, 5]",0.004965000000000001,0.004477,0.005568,0.004588,0.013026000000000001,0.017216000000000002,0.018813,0.059928
11,"[0.25, 0.15, 0.1, 0.5, 0.6, 0.2, 0.2, 1, 5]",0.006128000000000001,0.005189,0.005588,0.005077,0.016051,0.017687,0.01933,0.050299
12,"[0.1, 0.15, 0.05, 0.7, 0.4, 0.2, 0.4, 1, 5]",0.004707,0.005498,0.005442000000000001,0.004623,0.00907,0.011229000000000001,0.020695,0.063639
13,"[0.4, 0.15, 0.05, 0.4, 0.6, 0.15, 0.25, 1, 1]",0.005750000000000001,0.0054340000000000005,0.0051340000000000005,0.005596,0.01203,0.017112000000000002,0.019703000000000002,0.059303
14,"[0.25, 0.15, 0.2, 0.4, 0.6, 0.15, 0.25, 1, 5]",0.006174000000000001,0.004449000000000001,0.005750000000000001,0.004471,0.012747000000000001,0.017895,0.021286000000000003,0.09731500000000001
15,"[0.2, 0.05, 0.1, 0.65, 0.6, 0.05, 0.35, 1, 7]",0.005481000000000001,0.004967,0.0049380000000000005,0.004845,0.007785,0.011027,0.018906000000000003,0.038264
16,"[0.2, 0.05, 0.05, 0.7, 0.4, 0.1, 0.5, 1, 5]",0.005745,0.00461,0.005061,0.004773,0.010529,0.01288,0.019749000000000003,0.088691
17,"[0.1, 0.2, 0.0, 0.7, 0.45, 0.15, 0.4, 1, 5]",0.005436000000000001,0.004588,0.0051860000000000005,0.004472,0.009189000000000001,0.016182000000000002,0.026406000000000002,0.091433
18,"[0.3, 0.15, 0.2, 0.35, 0.75, 0.15, 0.1, 1, 5]",0.005648,0.005135000000000001,0.006246000000000001,0.0057740000000000005,0.008418,0.013753000000000001,0.022133,0.054717
19,"[0.15, 0.25, 0.1, 0.5, 0.55, 0.25, 0.2, 1, 5]",0.005511,0.005444,0.004776000000000001,0.005432,0.009677,0.009174,0.0223,0.063874
20,"[0.2, 0.05, 0.0, 0.75, 0.65, 0.05, 0.3, 1, 5]",0.005496,0.0046700000000000005,0.0054600000000000004,0.004524,0.009158000000000001,0.012741,0.022504,0.061016
21,"[0.2, 0.1, 0.25, 0.45, 0.5, 0.25, 0.25, 1, 7]",0.005857,0.004895,0.006154000000000001,0.004919000000000001,0.00837,0.008225,0.019676000000000003,0.04324
22,"[0.1, 0.1, 0.05, 0.75, 0.35, 0.25, 0.4, 1, 5]",0.005645000000000001,0.00447,0.005285000000000001,0.005348,0.010059,0.009772000000000001,0.017888,0.041062
23,"[0.0, 0.1, 0.15, 0.75, 0.35, 0.2, 0.45, 1, 1]",0.005235,0.0048790000000000005,0.0057740000000000005,0.004252000000000001,0.013257000000000001,0.011921000000000001,0.018541000000000002,0.036372
24,"[0.1, 0.2, 0.15, 0.55, 0.6, 0.15, 0.25, 1, 5]",0.0048130000000000004,0.0043760000000000005,0.00479,0.004022,0.011174,0.014737,0.020939000000000003,0.07699700000000001
25,"[0.1, 0.1, 0.1, 0.7, 0.45, 0.2, 0.35, 1, 5]",0.006039,0.004877,0.005466,0.0051340000000000005,0.014816000000000001,0.012196,0.021527,0.07363800000000001
26,"[0.1, 0.25, 0.05, 0.6, 0.7, 0.2, 0.1, 1, 5]",0.005183,0.004751,0.00449,0.00447,0.007309,0.007437,0.021676,0.058724000000000005
27,"[0.1, 0.15, 0.2, 0.55, 0.45, 0.0, 0.55, 1, 1]",0.005745,0.0051990000000000005,0.005118,0.005315,0.007188000000000001,0.011067,0.017925,0.051936
28,"[0.25, 0.05, 0.2, 0.5, 0.6, 0.0, 0.4, 1, 1]",0.0050940000000000004,0.004149,0.005675,0.004139,0.007221000000000001,0.010874,0.016837,0.07616200000000001
29,"[0.1, 0.05, 0.15, 0.7, 0.5, 0.2, 0.3, 1, 7]",0.004801000000000001,0.004571,0.004978000000000001,0.005168000000000001,0.009601,0.016009000000000002,0.018009,0.031974
30,"[0.15, 0.1, 0.1, 0.65, 0.55, 0.2, 0.25, 1, 5]",0.005249,0.0047090000000000005,0.005098,0.0046370000000000005,0.009195,0.016171,0.023052000000000003,0.07309600000000001
31,"[0.05, 0.25, 0.1, 0.6, 0.55, 0.15, 0.3, 1, 5]",0.004437,0.00462,0.005424,0.004318000000000001,0.015515000000000001,0.016418000000000002,0.024777,0.11913900000000001
32,"[0.2, 0.2, 0.2, 0.4, 0.65, 0.2, 0.15, 1, 5]",0.005257,0.005126,0.005233000000000001,0.005203,0.009828,0.01276,0.023784000000000003,0.06431300000000001
33,"[0.05, 0.15, 0.1, 0.7, 0.6, 0.2, 0.2, 1, 5]",0.0049570000000000005,0.004653,0.005716000000000001,0.005295,0.010002,0.007019,0.021001000000000002,0.043878
34,"[0.2, 0.15, 0.0, 0.65, 0.5, 0.15, 0.35, 1, 1]",0.004900000000000001,0.005141000000000001,0.005796,0.0048130000000000004,0.009797,0.011472000000000001,0.018991,0.052737000000000006
35,"[0.15, 0.2, 0.1, 0.55, 0.5, 0.2, 0.3, 1, 1]",0.006525,0.005061,0.006034,0.005635,0.016023000000000003,0.01584,0.018934000000000003,0.08343500000000001
36,"[0.1, 0.15, 0.1, 0.65, 0.3, 0.15, 0.55, 1, 1]",0.005301,0.005594,0.0057090000000000005,0.004601,0.011199,0.010904,0.017511000000000002,0.041695
37,"[0.15, 0.15, 0.05, 0.65, 0.55, 0.05, 0.4, 1, 5]",0.00527,0.00561,0.005391,0.005092,0.010821,0.012231,0.021285000000000002,0.11534000000000001
38,"[0.1, 0.15, 0.2, 0.55, 0.5, 0.2, 0.3, 1, 5]",0.005553000000000001,0.004656,0.005138,0.004646,0.014234,0.017643000000000002,0.02304,0.06867200000000001
39,"[0.05, 0.25, 0.15, 0.55, 0.4, 0.3, 0.3, 1, 1]",0.004741,0.005057000000000001,0.004875,0.004907,0.006599000000000001,0.008331,0.018256,0.055022
40,"[0.05, 0.15, 0.1, 0.7, 0.5, 0.2, 0.3, 1, 5]",0.0048400000000000006,0.004322,0.0049250000000000006,0.004397,0.013392000000000001,0.011720000000000001,0.020447,0.08156200000000001
41,"[0.25, 0.25, 0.15, 0.35, 0.55, 0.2, 0.25, 1, 5]",0.005514000000000001,0.004756000000000001,0.005557,0.004308,0.011534,0.015149000000000001,0.019912000000000003,0.09029300000000001
42,"[0.15, 0.2, 0.1, 0.55, 0.65, 0.15, 0.2, 1, 5]",0.0052840000000000005,0.004795000000000001,0.005281,0.0045000000000000005,0.009476,0.01017,0.021912,0.066119
