,Chromosome,Fitness
10,"[6, 3, 3, 6, 2, 5, 4, 0, 5, 3, 0, 5, 5, 5, 6, 6, 6, 6, 0, 0]",0.56704334375
12,"[4, 6, 6, 6, 6, 6, 3, 0, 0, 0, 5, 3, 0, 5, 5, 5, 5, 3, 5, 5]",0.5658944100000001
8,"[0, 0, 0, 3, 0, 2, 5, 0, 5, 5, 2, 4, 6, 3, 0, 5, 6, 6, 0, 0]",0.5649381299999999
17,"[6, 3, 3, 6, 2, 5, 4, 0, 5, 5, 5, 6, 4, 5, 0, 5, 6, 6, 6, 0]",0.5648049042857143
4,"[6, 6, 3, 0, 0, 1, 3, 0, 5, 3, 5, 6, 5, 5, 6, 6, 3, 3, 6, 6]",0.5588943471428571
5,"[6, 6, 3, 0, 0, 1, 3, 0, 5, 3, 5, 6, 5, 5, 6, 6, 3, 3, 6, 6]",0.5588943471428571
6,"[0, 0, 0, 0, 2, 1, 6, 0, 0, 5, 2, 4, 6, 3, 0, 5, 6, 6, 0, 0]",0.55370096125
3,"[0, 0, 6, 0, 3, 6, 0, 1, 3, 3, 0, 3, 5, 3, 5, 0, 6, 6, 6, 6]",0.55175135125
16,"[6, 0, 6, 0, 2, 3, 6, 0, 5, 3, 0, 5, 5, 5, 6, 6, 3, 6, 0, 0]",0.5504757299999999
15,"[6, 6, 3, 0, 2, 5, 6, 0, 0, 5, 2, 4, 6, 3, 0, 5, 6, 6, 0, 0]",0.5494676737499999
18,"[6, 6, 3, 0, 0, 1, 3, 0, 5, 3, 0, 4, 5, 3, 5, 5, 3, 3, 6, 6]",0.54942789125
0,"[6, 6, 3, 0, 0, 1, 3, 0, 5, 3, 0, 4, 5, 3, 5, 5, 3, 3, 6, 6]",0.54942789125
1,"[6, 6, 3, 0, 0, 1, 3, 0, 5, 3, 0, 3, 5, 3, 5, 5, 3, 3, 6, 6]",0.54942789125
7,"[6, 6, 3, 0, 0, 5, 3, 0, 5, 3, 0, 3, 5, 3, 5, 5, 3, 3, 6, 6]",0.54942789125
2,"[6, 6, 3, 0, 0, 1, 3, 0, 5, 0, 5, 5, 0, 3, 5, 5, 3, 3, 6, 6]",0.54942789125
19,"[6, 6, 3, 0, 0, 1, 3, 0, 5, 3, 0, 3, 5, 3, 5, 5, 3, 3, 6, 6]",0.54942789125
13,"[6, 6, 0, 0, 0, 1, 3, 1, 3, 0, 5, 5, 6, 4, 6, 6, 3, 6, 6, 6]",0.5480304112499998
9,"[0, 0, 0, 0, 2, 5, 6, 0, 0, 5, 5, 6, 4, 5, 5, 6, 6, 6, 6, 6]",0.54031312125
11,"[6, 0, 6, 0, 2, 5, 4, 0, 5, 5, 0, 5, 4, 5, 6, 6, 3, 6, 6, 0]",0.5069299966666666
14,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 5, 3, 5, 5, 4, 6, 6, 6]",0.47183653666666664
