,Chromosome,Fitness
14,"[1, 6, 4, 1, 1, 1, 1, 4, 1, 5, 5, 1, 4, 1, 4, 4, 5, 4, 4, 4]",0.5355155841666666
13,"[1, 6, 4, 1, 1, 1, 1, 4, 1, 5, 5, 1, 4, 6, 5, 4, 5, 4, 4, 4]",0.5352315063888888
9,"[1, 6, 4, 1, 5, 1, 1, 4, 5, 1, 5, 1, 4, 1, 4, 4, 5, 4, 4, 4]",0.5339350379166667
21,"[1, 6, 4, 1, 1, 1, 1, 4, 5, 1, 5, 1, 1, 1, 4, 4, 5, 4, 4, 4]",0.5339350379166667
16,"[1, 6, 4, 1, 1, 1, 1, 1, 5, 1, 5, 1, 1, 1, 5, 4, 5, 4, 4, 4]",0.5339350379166667
15,"[1, 6, 4, 1, 1, 1, 1, 1, 5, 1, 5, 1, 4, 1, 4, 4, 5, 4, 4, 4]",0.5339350379166667
20,"[1, 6, 4, 1, 1, 1, 5, 1, 1, 1, 1, 5, 4, 1, 4, 4, 5, 5, 4, 4]",0.5339350379166667
6,"[1, 6, 4, 1, 1, 1, 5, 1, 1, 1, 1, 5, 1, 1, 4, 4, 5, 5, 4, 4]",0.5339350379166667
5,"[1, 6, 6, 4, 1, 1, 5, 1, 1, 1, 1, 5, 1, 6, 5, 4, 5, 4, 4, 4]",0.5334057579166667
4,"[1, 1, 4, 1, 1, 1, 1, 4, 1, 5, 5, 1, 4, 1, 4, 1, 5, 4, 4, 4]",0.5280956752777777
2,"[4, 1, 5, 1, 5, 1, 5, 1, 4, 1, 1, 1, 4, 1, 4, 1, 5, 4, 4, 4]",0.5280956752777777
22,"[4, 6, 4, 1, 1, 1, 4, 5, 5, 1, 5, 1, 4, 5, 1, 4, 5, 4, 4, 4]",0.5269270491666667
0,"[4, 6, 4, 1, 1, 1, 4, 5, 5, 1, 5, 1, 4, 5, 1, 4, 5, 4, 4, 4]",0.5269270491666667
19,"[4, 6, 4, 1, 1, 1, 1, 4, 5, 1, 5, 1, 1, 1, 4, 1, 6, 5, 4, 4]",0.5260906191666668
23,"[4, 1, 6, 5, 6, 4, 1, 2, 1, 1, 1, 5, 4, 1, 4, 5, 5, 4, 4, 4]",0.5198370116666666
1,"[4, 1, 6, 5, 6, 4, 1, 2, 1, 1, 1, 5, 4, 1, 4, 5, 5, 4, 4, 4]",0.5198370116666666
10,"[1, 1, 5, 1, 5, 4, 1, 1, 1, 1, 4, 1, 4, 1, 4, 4, 5, 4, 4, 4]",0.5194138625
3,"[1, 1, 6, 4, 1, 1, 1, 4, 1, 5, 5, 1, 1, 5, 1, 4, 5, 4, 4, 4]",0.5192201166666666
7,"[4, 1, 4, 1, 1, 1, 1, 4, 5, 1, 1, 5, 1, 4, 4, 1, 6, 5, 4, 4]",0.5143366518750001
24,"[4, 5, 1, 6, 4, 1, 1, 1, 1, 4, 1, 1, 1, 1, 4, 4, 1, 5, 4, 4]",0.513465621875
12,"[4, 4, 1, 6, 4, 1, 1, 1, 1, 4, 1, 5, 0, 1, 4, 1, 4, 4, 5, 4]",0.511104789375
8,"[4, 4, 4, 1, 5, 5, 1, 1, 1, 5, 1, 4, 1, 1, 1, 4, 1, 4, 4, 5]",0.49459653809523807
17,"[2, 4, 4, 4, 6, 6, 5, 6, 4, 1, 2, 1, 4, 1, 4, 4, 1, 4, 4, 5]",0.49409510476190477
11,"[5, 4, 4, 4, 4, 1, 5, 1, 4, 1, 1, 1, 5, 1, 5, 1, 4, 4, 1, 6]",0.4869437691666667
18,"[4, 4, 4, 4, 0, 1, 5, 1, 4, 5, 1, 5, 1, 4, 4, 4, 4, 1, 6, 5]",0.4805528627083333
