,Chromosome,Fitness
0,"[1, 1, 3, 5, 1, 1, 1, 1, 1, 5, 1, 1, 4, 5, 1, 1, 1, 1, 1, 1]",0.5477668787500001
9,"[3, 3, 6, 1, 0, 3, 1, 1, 1, 1, 1, 5, 1, 5, 1, 2, 1, 1, 0, 1]",0.5477668787500001
38,"[3, 3, 6, 1, 0, 1, 1, 1, 1, 1, 1, 5, 1, 5, 1, 2, 1, 1, 0, 1]",0.5477668787500001
36,"[1, 1, 3, 5, 1, 1, 1, 1, 1, 5, 1, 1, 4, 5, 1, 1, 1, 1, 1, 1]",0.5477668787500001
23,"[3, 3, 6, 1, 0, 1, 1, 1, 1, 1, 1, 5, 1, 5, 1, 2, 1, 1, 0, 1]",0.5477668787500001
22,"[3, 3, 6, 1, 0, 1, 1, 1, 1, 1, 1, 5, 1, 4, 4, 1, 1, 1, 0, 1]",0.5477668787500001
20,"[3, 3, 6, 1, 0, 1, 1, 1, 1, 1, 1, 1, 4, 5, 1, 2, 1, 1, 0, 1]",0.5477668787500001
39,"[3, 3, 6, 1, 0, 1, 1, 1, 1, 1, 1, 5, 4, 5, 1, 2, 1, 1, 0, 1]",0.5477668787500001
2,"[3, 3, 6, 1, 0, 1, 1, 1, 1, 1, 1, 5, 1, 5, 1, 2, 1, 1, 0, 1]",0.5477668787500001
3,"[3, 3, 6, 1, 0, 1, 1, 1, 1, 1, 1, 5, 4, 5, 1, 2, 1, 1, 0, 1]",0.5477668787500001
15,"[3, 0, 1, 5, 1, 3, 6, 1, 1, 5, 1, 1, 4, 6, 1, 4, 1, 1, 0, 1]",0.54726665875
5,"[1, 1, 3, 5, 1, 1, 1, 1, 1, 1, 1, 5, 1, 5, 1, 1, 1, 1, 1, 1]",0.5467252037500001
7,"[3, 3, 6, 1, 0, 1, 5, 1, 1, 1, 1, 1, 4, 1, 1, 2, 4, 4, 0, 1]",0.5467252037500001
13,"[3, 0, 6, 1, 0, 1, 1, 1, 1, 1, 6, 6, 3, 1, 1, 1, 1, 1, 0, 1]",0.5462593037500001
37,"[3, 3, 6, 1, 0, 3, 1, 5, 1, 1, 6, 6, 3, 1, 1, 1, 1, 1, 0, 1]",0.5462593037500001
1,"[3, 3, 6, 1, 0, 3, 1, 5, 1, 1, 6, 6, 3, 1, 1, 1, 1, 1, 0, 1]",0.5462593037500001
30,"[1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 0, 1, 3, 4, 6, 4, 2, 4, 0, 1]",0.54624535375
25,"[3, 3, 6, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 6, 6, 3, 1, 1, 4, 1]",0.5459683537500001
12,"[3, 3, 6, 1, 0, 1, 1, 1, 1, 1, 1, 5, 4, 6, 2, 2, 1, 1, 0, 1]",0.5459683537500001
16,"[3, 3, 6, 1, 0, 1, 1, 1, 1, 1, 1, 5, 1, 6, 2, 2, 1, 1, 0, 1]",0.5459683537500001
17,"[3, 3, 6, 1, 0, 1, 1, 1, 1, 1, 1, 5, 1, 6, 2, 2, 1, 1, 0, 1]",0.5459683537500001
