,Labels,First Fit Score,First Fit Decreasing Score,Next Fit Score,Next Fit Decreasing Score,Best Fit Score,Best Fit Decreasing Score,Djang-Fitch Score,Djang-Fitch 2 Score
0,"[0.2, 0.15, 0.05, 0.6, 0.5, 0.1, 0.4, 1, 5]",0.3428,0.4651,0.3423,0.4504,0.452,0.4718,0.4651,0.3869
1,"[0.2, 0.15, 0.05, 0.6, 0.35, 0.2, 0.45, 1, 1]",0.404,0.5434,0.3314,0.5213,0.426,0.5433,0.5434,0.4491
2,"[0.1, 0.1, 0.25, 0.55, 0.25, 0.2, 0.55, 1, 7]",0.4396,0.5537,0.3475,0.5411,0.4445,0.5537,0.5537,0.5827
3,"[0.1, 0.3, 0.0, 0.6, 0.35, 0.15, 0.5, 1, 5]",0.3515,0.4528,0.3463,0.4463,0.3597,0.4747,0.4528,0.3887
4,"[0.2, 0.2, 0.15, 0.45, 0.65, 0.2, 0.15, 1, 5]",0.5222,0.6211,0.5042,0.5296,0.5199,0.6245,0.6211,0.6181
5,"[0.05, 0.0, 0.1, 0.85, 0.5, 0.2, 0.3, 1, 1]",0.2902,0.5833,0.2677,0.3908,0.2738,0.5833,0.5833,0.4293
6,"[0.2, 0.25, 0.15, 0.4, 0.55, 0.25, 0.2, 1, 5]",0.5181,0.5427,0.5018,0.5232,0.5168,0.5456,0.5427,0.5367
7,"[0.15, 0.3, 0.0, 0.55, 0.6, 0.15, 0.25, 1, 5]",0.4481,0.5349,0.4305,0.433,0.4508,0.5564,0.5349,0.5321
8,"[0.15, 0.0, 0.15, 0.7, 0.4, 0.25, 0.35, 1, 5]",0.3885,0.5411,0.3068,0.5347,0.3947,0.5528,0.5411,0.5408
9,"[0.35, 0.1, 0.2, 0.35, 0.65, 0.1, 0.25, 1, 5]",0.4876,0.5086,0.4332,0.5001,0.4891,0.5096,0.5086,0.508
10,"[0.25, 0.25, 0.0, 0.5, 0.55, 0.15, 0.3, 1, 5]",0.5545,0.5986,0.4666,0.5636,0.5594,0.6021,0.5986,0.5948
11,"[0.25, 0.15, 0.1, 0.5, 0.6, 0.2, 0.2, 1, 5]",0.4295,0.5356,0.4376,0.5115,0.5272,0.5366,0.5356,0.5296
12,"[0.1, 0.15, 0.05, 0.7, 0.4, 0.2, 0.4, 1, 5]",0.6073,0.6075,0.4501,0.5932,0.6073,0.6172,0.6075,0.508
13,"[0.4, 0.15, 0.05, 0.4, 0.6, 0.15, 0.25, 1, 1]",0.4899,0.4956,0.4893,0.4928,0.4924,0.4956,0.4956,0.4955
14,"[0.25, 0.15, 0.2, 0.4, 0.6, 0.15, 0.25, 1, 5]",0.4094,0.5072,0.408,0.4084,0.5069,0.5116,0.5072,0.5036
15,"[0.2, 0.05, 0.1, 0.65, 0.6, 0.05, 0.35, 1, 7]",0.4346,0.5661,0.4357,0.5326,0.524,0.5674,0.5661,0.682
16,"[0.2, 0.05, 0.05, 0.7, 0.4, 0.1, 0.5, 1, 5]",0.4638,0.6189,0.6092,0.6043,0.6142,0.6197,0.6189,0.5185
17,"[0.1, 0.2, 0.0, 0.7, 0.45, 0.15, 0.4, 1, 5]",0.345,0.4726,0.359,0.4575,0.4785,0.4801,0.4726,0.4018
18,"[0.3, 0.15, 0.2, 0.35, 0.75, 0.15, 0.1, 1, 5]",0.4311,0.5241,0.3735,0.5233,0.434,0.5267,0.5241,0.5216
19,"[0.15, 0.25, 0.1, 0.5, 0.55, 0.25, 0.2, 1, 5]",0.5096,0.6297,0.5044,0.5199,0.5097,0.6306,0.6297,0.6297
20,"[0.2, 0.05, 0.0, 0.75, 0.65, 0.05, 0.3, 1, 5]",0.4047,0.5769,0.4031,0.5497,0.4137,0.5777,0.5769,0.4761
21,"[0.2, 0.1, 0.25, 0.45, 0.5, 0.25, 0.25, 1, 7]",0.4512,0.6604,0.4414,0.5379,0.4519,0.6604,0.6604,0.6673
22,"[0.1, 0.1, 0.05, 0.75, 0.35, 0.25, 0.4, 1, 5]",0.4533,0.5321,0.4439,0.4753,0.4594,0.6523,0.5321,0.5188
23,"[0.0, 0.1, 0.15, 0.75, 0.35, 0.2, 0.45, 1, 1]",0.3694,0.5575,0.3521,0.5387,0.3704,0.5575,0.5575,0.4082
24,"[0.1, 0.2, 0.15, 0.55, 0.6, 0.15, 0.25, 1, 5]",0.3776,0.5156,0.3707,0.4878,0.3994,0.5159,0.5156,0.4289
25,"[0.1, 0.1, 0.1, 0.7, 0.45, 0.2, 0.35, 1, 5]",0.3866,0.5479,0.3763,0.3745,0.4117,0.5481,0.5479,0.4153
26,"[0.1, 0.25, 0.05, 0.6, 0.7, 0.2, 0.1, 1, 5]",0.4565,0.4826,0.4595,0.5586,0.4768,0.571,0.4826,0.483
27,"[0.1, 0.15, 0.2, 0.55, 0.45, 0.0, 0.55, 1, 1]",0.4717,0.6309,0.4735,0.4705,0.4734,0.6309,0.6309,0.5175
28,"[0.25, 0.05, 0.2, 0.5, 0.6, 0.0, 0.4, 1, 1]",0.3961,0.608,0.3925,0.5945,0.4679,0.608,0.608,0.5334
29,"[0.1, 0.05, 0.15, 0.7, 0.5, 0.2, 0.3, 1, 7]",0.5766,0.4647,0.4224,0.5798,0.5777,0.4647,0.4647,0.5961
30,"[0.15, 0.1, 0.1, 0.65, 0.55, 0.2, 0.25, 1, 5]",0.3487,0.4691,0.4454,0.4304,0.455,0.4848,0.4691,0.4611
31,"[0.05, 0.25, 0.1, 0.6, 0.55, 0.15, 0.3, 1, 5]",0.3343,0.4795,0.3279,0.4597,0.3293,0.4824,0.4795,0.3848
32,"[0.2, 0.2, 0.2, 0.4, 0.65, 0.2, 0.15, 1, 5]",0.5198,0.5245,0.4305,0.4315,0.4397,0.5263,0.5245,0.5234
33,"[0.05, 0.15, 0.1, 0.7, 0.6, 0.2, 0.2, 1, 5]",0.6071,0.6156,0.4259,0.4382,0.6138,0.6159,0.6156,0.501
