,Chromosome,Fitness
0,"[5, 5, 5, 5, 5, 5, 3, 3, 5, 6, 5, 6, 6, 5, 1, 2, 4, 4, 5, 5]",0.5838373044444444
18,"[5, 5, 5, 5, 5, 5, 3, 3, 5, 6, 5, 6, 6, 5, 1, 2, 4, 4, 5, 5]",0.5838373044444444
4,"[5, 5, 1, 5, 5, 3, 5, 5, 5, 6, 5, 5, 5, 5, 2, 5, 4, 4, 5, 5]",0.5838373044444444
16,"[5, 5, 5, 5, 5, 5, 3, 3, 5, 6, 5, 6, 6, 5, 1, 2, 4, 4, 5, 5]",0.5838373044444444
9,"[5, 5, 5, 4, 5, 5, 5, 6, 5, 5, 6, 5, 5, 5, 5, 5, 5, 1, 5, 5]",0.5825156466666666
17,"[5, 5, 5, 4, 5, 5, 5, 6, 5, 5, 5, 5, 4, 5, 5, 5, 2, 5, 5, 4]",0.5825156466666666
14,"[5, 5, 5, 4, 5, 5, 5, 6, 5, 5, 6, 5, 5, 5, 5, 5, 5, 1, 5, 5]",0.5825156466666666
13,"[5, 5, 5, 4, 5, 5, 5, 6, 5, 5, 6, 5, 5, 5, 5, 5, 5, 1, 5, 5]",0.5825156466666666
11,"[5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 4]",0.5825156466666666
10,"[5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 4]",0.5825156466666666
7,"[5, 5, 5, 5, 5, 3, 5, 6, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 5, 5]",0.5825156466666666
6,"[5, 5, 5, 5, 5, 5, 3, 6, 5, 5, 5, 5, 5, 5, 5, 4, 2, 5, 5, 5]",0.5825156466666666
1,"[5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 4, 5, 5]",0.5823538266666666
8,"[5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 4, 5, 5]",0.5823538266666666
12,"[5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 4, 5, 5]",0.5823538266666666
15,"[5, 5, 5, 5, 1, 5, 1, 3, 5, 5, 5, 6, 5, 5, 5, 5, 2, 5, 4, 4]",0.5823538266666666
5,"[5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 5]",0.5823538266666666
3,"[5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 4, 5, 5]",0.5823538266666666
2,"[5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 5]",0.5823538266666666
19,"[5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 4, 5, 5]",0.5823538266666666
