,Chromosome,Fitness
10,"[1, 5, 1, 6, 2, 1, 6, 2, 0, 5, 5, 0, 5, 4, 0, 4, 4, 0, 5, 4]",0.579355678125
17,"[1, 5, 1, 6, 2, 0, 5, 1, 4, 5, 5, 0, 5, 4, 0, 4, 4, 0, 5, 4]",0.579355678125
13,"[1, 5, 1, 6, 2, 0, 5, 1, 4, 4, 0, 5, 4, 5, 0, 4, 4, 0, 5, 4]",0.579355678125
0,"[1, 5, 1, 6, 2, 0, 5, 1, 4, 4, 0, 5, 4, 4, 4, 4, 4, 0, 5, 4]",0.579249828125
22,"[1, 5, 1, 6, 2, 0, 5, 1, 4, 4, 0, 5, 4, 4, 4, 4, 4, 0, 5, 4]",0.579249828125
19,"[1, 5, 1, 6, 2, 0, 5, 1, 1, 4, 0, 0, 4, 4, 4, 4, 4, 0, 5, 4]",0.579249828125
16,"[1, 5, 1, 6, 2, 1, 6, 2, 0, 4, 0, 5, 4, 4, 4, 4, 4, 0, 5, 4]",0.579249828125
15,"[1, 5, 1, 6, 2, 0, 5, 1, 4, 4, 0, 5, 4, 4, 4, 4, 4, 0, 4, 4]",0.579249828125
24,"[1, 5, 1, 6, 2, 0, 5, 1, 4, 4, 0, 5, 4, 4, 4, 4, 4, 0, 5, 4]",0.579249828125
3,"[1, 5, 1, 6, 2, 0, 5, 1, 4, 4, 0, 5, 4, 4, 4, 4, 4, 0, 5, 4]",0.579249828125
1,"[1, 5, 1, 6, 6, 2, 2, 0, 5, 1, 4, 0, 5, 4, 4, 5, 4, 0, 5, 4]",0.57908192
20,"[1, 5, 1, 6, 6, 2, 2, 0, 5, 1, 4, 0, 5, 4, 4, 5, 4, 0, 5, 4]",0.57908192
23,"[1, 5, 1, 6, 6, 2, 2, 0, 5, 1, 4, 0, 5, 4, 4, 5, 4, 0, 5, 4]",0.57908192
12,"[1, 5, 1, 6, 2, 0, 5, 6, 1, 4, 4, 4, 0, 4, 4, 4, 4, 0, 5, 4]",0.5766813341666667
21,"[1, 5, 1, 6, 2, 0, 5, 6, 1, 4, 4, 4, 0, 5, 0, 4, 4, 0, 5, 4]",0.5754857154166667
2,"[0, 5, 1, 6, 2, 0, 5, 1, 4, 4, 0, 5, 4, 4, 4, 4, 4, 0, 4, 4]",0.5726422172916668
9,"[4, 5, 1, 6, 2, 0, 5, 1, 4, 4, 0, 4, 1, 0, 4, 4, 4, 4, 4, 0]",0.5720998722916667
6,"[1, 5, 5, 4, 6, 5, 2, 0, 0, 1, 2, 4, 1, 0, 4, 4, 4, 4, 4, 0]",0.5615416675
5,"[1, 5, 5, 4, 6, 5, 6, 0, 1, 4, 4, 4, 4, 0, 4, 4, 4, 0, 5, 4]",0.5615243341666667
14,"[0, 5, 1, 6, 2, 0, 5, 6, 1, 4, 4, 4, 0, 5, 0, 4, 4, 0, 5, 4]",0.557621675
18,"[0, 5, 4, 1, 5, 1, 6, 2, 0, 5, 1, 4, 1, 4, 0, 4, 2, 4, 4, 4]",0.5575974833333333
11,"[4, 1, 0, 5, 4, 6, 5, 6, 1, 4, 4, 0, 5, 5, 0, 4, 4, 4, 0, 2]",0.5257121167857143
4,"[4, 1, 0, 5, 4, 6, 5, 6, 5, 4, 4, 0, 5, 5, 0, 4, 4, 4, 0, 2]",0.5257121167857143
8,"[1, 4, 0, 1, 0, 0, 5, 1, 0, 1, 2, 5, 4, 4, 4, 4, 4, 0, 5, 4]",0.49008589428571425
7,"[4, 4, 4, 0, 1, 0, 6, 5, 1, 5, 1, 4, 0, 5, 0, 4, 4, 4, 0, 5]",0.4882862166666666
