,Chromosome,Fitness
33,"[1, 1, 1, 0, 6, 1, 6, 6, 2, 0, 1, 6, 2, 0, 5, 3, 1, 5, 0, 5]",0.5188217620000002
28,"[5, 0, 5, 5, 1, 1, 1, 1, 6, 6, 2, 5, 2, 6, 1, 1, 3, 3, 0, 5]",0.5188217620000002
1,"[5, 0, 5, 3, 1, 1, 1, 1, 6, 6, 2, 0, 0, 0, 0, 1, 3, 5, 1, 5]",0.5188217620000002
25,"[0, 5, 5, 6, 6, 2, 1, 1, 1, 4, 1, 6, 2, 0, 5, 5, 1, 1, 1, 1]",0.516967762
36,"[5, 1, 1, 1, 5, 6, 1, 2, 5, 0, 1, 4, 0, 0, 6, 1, 1, 5, 5, 5]",0.51466491
17,"[1, 1, 1, 6, 6, 2, 0, 0, 1, 0, 2, 6, 1, 1, 3, 5, 1, 1, 1, 1]",0.514602414
27,"[1, 1, 5, 5, 5, 1, 5, 2, 0, 1, 1, 5, 2, 1, 2, 0, 0, 3, 1, 3]",0.508323638
19,"[0, 5, 5, 6, 6, 2, 0, 1, 0, 0, 1, 6, 2, 0, 1, 5, 0, 2, 5, 1]",0.506289394
8,"[1, 1, 1, 0, 5, 2, 5, 1, 1, 4, 0, 1, 1, 1, 0, 0, 2, 1, 1, 5]",0.50528481
3,"[5, 1, 1, 1, 1, 6, 5, 5, 5, 0, 0, 1, 0, 0, 1, 1, 1, 3, 0, 5]",0.5052367019999999
14,"[1, 1, 3, 1, 5, 6, 0, 0, 1, 6, 1, 6, 1, 1, 6, 2, 0, 1, 5, 1]",0.50061933
37,"[5, 5, 1, 1, 1, 1, 6, 6, 2, 0, 0, 0, 0, 1, 3, 5, 1, 5, 5, 0]",0.498663818
22,"[3, 1, 1, 6, 5, 2, 5, 5, 0, 0, 0, 1, 4, 0, 1, 6, 5, 0, 5, 5]",0.498663818
5,"[5, 1, 1, 1, 6, 2, 0, 0, 1, 6, 1, 6, 2, 1, 3, 1, 1, 0, 1, 0]",0.498663818
30,"[3, 1, 1, 6, 1, 1, 6, 6, 2, 0, 0, 1, 0, 1, 6, 2, 5, 0, 5, 5]",0.498503654
2,"[1, 1, 3, 3, 1, 1, 6, 6, 2, 0, 0, 1, 0, 1, 6, 2, 0, 5, 5, 1]",0.49794167400000006
38,"[1, 1, 3, 3, 1, 1, 6, 6, 2, 0, 0, 1, 0, 1, 6, 2, 0, 5, 5, 1]",0.49794167400000006
32,"[1, 1, 1, 6, 1, 1, 4, 4, 0, 1, 4, 0, 1, 6, 1, 5, 1, 1, 1, 1]",0.496445286
9,"[1, 1, 1, 6, 1, 1, 4, 4, 0, 1, 4, 0, 1, 6, 1, 3, 1, 5, 0, 1]",0.49637204599999996
39,"[1, 1, 6, 5, 5, 5, 0, 0, 1, 0, 0, 1, 1, 1, 3, 0, 5, 0, 1, 1]",0.4947683260000001
34,"[3, 1, 1, 6, 5, 2, 5, 5, 2, 0, 0, 1, 2, 0, 1, 5, 0, 2, 5, 5]",0.4941166174999999
15,"[0, 5, 1, 5, 6, 5, 1, 5, 2, 5, 2, 5, 4, 4, 6, 2, 1, 3, 1, 1]",0.493112725
20,"[5, 5, 5, 1, 5, 2, 0, 1, 1, 5, 2, 6, 1, 1, 3, 1, 1, 0, 5, 1]",0.4925431625
0,"[5, 5, 5, 5, 1, 1, 4, 5, 6, 1, 2, 5, 0, 1, 4, 0, 0, 6, 1, 1]",0.49140189800000006
16,"[5, 5, 5, 1, 5, 2, 0, 1, 1, 5, 1, 6, 2, 0, 5, 1, 0, 5, 1, 1]",0.49043429400000005
6,"[1, 1, 1, 0, 5, 1, 4, 4, 0, 1, 4, 0, 1, 6, 1, 3, 1, 5, 0, 5]",0.48974362749999995
31,"[1, 1, 3, 3, 5, 2, 0, 1, 1, 6, 1, 6, 6, 1, 3, 0, 0, 5, 5, 1]",0.48963545399999997
26,"[1, 5, 5, 5, 1, 5, 3, 0, 0, 1, 0, 2, 6, 1, 1, 3, 1, 0, 0, 1]",0.48943739500000005
7,"[5, 1, 1, 1, 1, 1, 5, 2, 0, 1, 0, 0, 1, 1, 3, 1, 0, 5, 1, 1]",0.48943739500000005
29,"[5, 5, 5, 1, 5, 2, 0, 1, 1, 0, 0, 0, 0, 1, 3, 5, 1, 5, 1, 1]",0.48907589399999996
18,"[1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 2, 1, 2, 0, 5, 5, 1, 1, 1, 1]",0.48886118749999996
24,"[1, 1, 1, 1, 1, 1, 2, 0, 0, 1, 0, 0, 0, 0, 1, 5, 0, 2, 5, 1]",0.4883911875
11,"[1, 1, 1, 0, 1, 1, 4, 4, 0, 1, 4, 0, 1, 0, 0, 3, 1, 5, 0, 5]",0.487340922
21,"[5, 5, 5, 1, 5, 2, 0, 0, 1, 6, 1, 6, 2, 1, 3, 1, 0, 5, 1, 1]",0.485970894
23,"[5, 5, 5, 1, 5, 2, 2, 0, 2, 1, 0, 0, 0, 0, 0, 3, 1, 0, 1, 1]",0.485171085
4,"[5, 5, 5, 1, 5, 2, 0, 0, 2, 0, 1, 1, 6, 2, 6, 1, 1, 3, 5, 1]",0.480148374
35,"[1, 0, 5, 5, 1, 1, 1, 0, 1, 0, 0, 2, 1, 4, 0, 1, 6, 5, 0, 5]",0.46926693799999997
12,"[5, 5, 5, 1, 5, 2, 0, 1, 1, 5, 2, 1, 2, 0, 3, 1, 0, 5, 1, 1]",0.4686362980000001
13,"[5, 5, 5, 1, 5, 2, 0, 0, 1, 0, 2, 6, 1, 1, 0, 3, 1, 0, 1, 1]",0.45203487000000003
10,"[5, 5, 5, 1, 5, 2, 0, 0, 1, 0, 2, 1, 2, 6, 1, 3, 1, 0, 1, 1]",0.433561394
