,Labels,Item sets,First Fit Score,First Fit Decreasing Score,Next Fit Score,Next Fit Decreasing Score,Best Fit Score,Best Fit Decreasing Score,Djang-Fitch Score,Djang-Fitch 2 Score,Best heuristic
0,"[0.2, 0.15, 0.05, 0.6, 0.5, 0.1, 0.4, 1, 5]","[(2, 4), (63, 8), (97, 3), (31, 40), (73, 54), (61, 86), (8, 55), (27, 1), (5, 85), (54, 30), (64, 81), (65, 84), (91, 18), (81, 73), (56, 48), (85, 28), (18, 76), (50, 9), (42, 93), (67, 51)]",0.3428,0.4651,0.3423,0.4504,0.452,0.4718,0.4651,0.3869,5
1,"[0.2, 0.15, 0.05, 0.6, 0.35, 0.2, 0.45, 1, 1]","[(87, 13), (4, 81), (47, 86), (26, 38), (64, 90), (94, 79), (82, 45), (82, 14), (15, 33), (55, 21), (3, 26), (97, 28), (50, 9), (13, 25), (31, 31), (45, 42), (40, 41), (75, 51), (83, 75), (54, 95)]",0.404,0.5434,0.3314,0.5213,0.426,0.5433,0.5434,0.4491,1
2,"[0.1, 0.1, 0.25, 0.55, 0.25, 0.2, 0.55, 1, 7]","[(66, 19), (99, 93), (34, 94), (88, 86), (30, 15), (60, 42), (81, 22), (56, 38), (83, 31), (68, 45), (39, 28), (56, 26), (4, 20), (67, 10), (63, 73), (68, 6), (75, 41), (43, 81), (26, 11), (96, 19)]",0.4396,0.5537,0.3475,0.5411,0.4445,0.5537,0.5537,0.5827,7
3,"[0.1, 0.3, 0.0, 0.6, 0.35, 0.15, 0.5, 1, 5]","[(62, 78), (9, 39), (87, 4), (65, 16), (45, 81), (32, 27), (18, 4), (29, 12), (65, 69), (95, 43), (66, 87), (42, 18), (52, 24), (69, 73), (74, 10), (59, 58), (75, 33), (88, 18), (43, 80), (29, 48)]",0.3515,0.4528,0.3463,0.4463,0.3597,0.4747,0.4528,0.3887,5
4,"[0.2, 0.2, 0.15, 0.45, 0.65, 0.2, 0.15, 1, 5]","[(67, 59), (80, 96), (72, 34), (94, 90), (88, 6), (87, 18), (45, 96), (51, 48), (97, 43), (58, 57), (63, 73), (9, 79), (18, 92), (94, 89), (29, 93), (98, 61), (14, 97), (46, 22), (61, 54), (37, 38)]",0.5222,0.6211,0.5042,0.5296,0.5199,0.6245,0.6211,0.6181,5
5,"[0.05, 0.0, 0.1, 0.85, 0.5, 0.2, 0.3, 1, 1]","[(99, 7), (57, 12), (80, 65), (1, 66), (80, 24), (15, 66), (3, 75), (13, 63), (5, 67), (52, 44), (47, 28), (97, 18), (41, 39), (29, 97), (5, 49), (28, 79), (27, 63), (84, 38), (19, 67), (89, 6)]",0.2902,0.5833,0.2677,0.3908,0.2738,0.5833,0.5833,0.4293,1
6,"[0.2, 0.25, 0.15, 0.4, 0.55, 0.25, 0.2, 1, 5]","[(45, 75), (75, 27), (45, 62), (16, 43), (97, 38), (88, 52), (84, 94), (59, 45), (43, 13), (1, 37), (55, 67), (85, 34), (85, 68), (82, 98), (21, 33), (97, 66), (5, 67), (6, 54), (76, 19), (78, 63)]",0.5181,0.5427,0.5018,0.5232,0.5168,0.5456,0.5427,0.5367,5
7,"[0.15, 0.3, 0.0, 0.55, 0.6, 0.15, 0.25, 1, 5]","[(23, 45), (89, 28), (91, 51), (82, 79), (94, 81), (79, 62), (83, 99), (12, 34), (58, 72), (14, 70), (50, 80), (87, 55), (1, 99), (77, 26), (62, 31), (47, 98), (30, 50), (58, 29), (34, 68), (48, 6)]",0.4481,0.5349,0.4305,0.433,0.4508,0.5564,0.5349,0.5321,5
8,"[0.15, 0.0, 0.15, 0.7, 0.4, 0.25, 0.35, 1, 5]","[(98, 26), (18, 15), (39, 42), (79, 20), (39, 45), (11, 60), (48, 65), (5, 80), (44, 26), (64, 40), (87, 81), (54, 38), (24, 85), (89, 64), (95, 72), (59, 37), (4, 57), (24, 33), (45, 4), (19, 32)]",0.3885,0.5411,0.3068,0.5347,0.3947,0.5528,0.5411,0.5408,5
9,"[0.35, 0.1, 0.2, 0.35, 0.65, 0.1, 0.25, 1, 5]","[(12, 67), (29, 7), (92, 96), (67, 15), (91, 70), (96, 90), (72, 97), (87, 49), (44, 74), (91, 78), (86, 32), (77, 83), (75, 42), (35, 91), (51, 79), (1, 60), (30, 3), (96, 2), (29, 64), (98, 71)]",0.4876,0.5086,0.4332,0.5001,0.4891,0.5096,0.5086,0.508,5
10,"[0.25, 0.25, 0.0, 0.5, 0.55, 0.15, 0.3, 1, 5]","[(41, 84), (52, 39), (51, 82), (27, 8), (21, 34), (79, 75), (95, 90), (43, 14), (15, 69), (91, 83), (82, 95), (75, 15), (24, 77), (93, 14), (58, 83), (97, 40), (74, 84), (14, 16), (93, 51), (32, 1)]",0.5545,0.5986,0.4666,0.5636,0.5594,0.6021,0.5986,0.5948,5
11,"[0.25, 0.15, 0.1, 0.5, 0.6, 0.2, 0.2, 1, 5]","[(59, 44), (94, 81), (75, 94), (97, 84), (15, 14), (13, 37), (54, 46), (50, 51), (60, 66), (71, 99), (7, 67), (79, 15), (55, 25), (13, 51), (62, 55), (92, 79), (3, 28), (40, 35), (49, 85), (14, 86)]",0.4295,0.5356,0.4376,0.5115,0.5272,0.5366,0.5356,0.5296,5
12,"[0.1, 0.15, 0.05, 0.7, 0.4, 0.2, 0.4, 1, 5]","[(25, 1), (97, 47), (66, 74), (67, 47), (20, 72), (26, 18), (47, 7), (54, 94), (22, 16), (78, 61), (83, 95), (26, 89), (30, 48), (56, 32), (35, 58), (11, 19), (19, 85), (42, 35), (45, 23), (92, 12)]",0.6073,0.6075,0.4501,0.5932,0.6073,0.6172,0.6075,0.508,5
13,"[0.4, 0.15, 0.05, 0.4, 0.6, 0.15, 0.25, 1, 1]","[(89, 85), (85, 81), (82, 48), (17, 35), (94, 66), (81, 9), (80, 69), (26, 44), (79, 85), (29, 86), (52, 61), (90, 7), (91, 83), (53, 14), (12, 1), (41, 94), (50, 98), (81, 8), (81, 91), (88, 60)]",0.4899,0.4956,0.4893,0.4928,0.4924,0.4956,0.4956,0.4955,1
14,"[0.25, 0.15, 0.2, 0.4, 0.6, 0.15, 0.25, 1, 5]","[(34, 81), (83, 74), (90, 65), (1, 9), (72, 35), (83, 19), (86, 76), (65, 71), (51, 55), (78, 79), (65, 70), (7, 36), (86, 15), (17, 8), (40, 64), (73, 86), (97, 47), (30, 57), (79, 10), (23, 76)]",0.4094,0.5072,0.408,0.4084,0.5069,0.5116,0.5072,0.5036,5
15,"[0.2, 0.05, 0.1, 0.65, 0.6, 0.05, 0.35, 1, 7]","[(35, 23), (21, 52), (47, 43), (70, 10), (98, 33), (69, 23), (15, 89), (35, 55), (81, 84), (57, 2), (44, 88), (24, 14), (97, 94), (5, 94), (46, 53), (22, 93), (66, 27), (78, 69), (93, 96), (39, 72)]",0.4346,0.5661,0.4357,0.5326,0.524,0.5674,0.5661,0.682,7
16,"[0.2, 0.05, 0.05, 0.7, 0.4, 0.1, 0.5, 1, 5]","[(14, 75), (88, 89), (85, 17), (87, 66), (54, 5), (10, 16), (82, 80), (30, 33), (57, 19), (8, 19), (62, 95), (80, 28), (35, 69), (69, 43), (26, 2), (22, 53), (98, 3), (52, 76), (44, 46), (40, 5)]",0.4638,0.6189,0.6092,0.6043,0.6142,0.6197,0.6189,0.5185,5
17,"[0.1, 0.2, 0.0, 0.7, 0.45, 0.15, 0.4, 1, 5]","[(37, 99), (46, 16), (84, 26), (76, 70), (16, 60), (18, 2), (70, 5), (61, 61), (42, 46), (68, 4), (4, 39), (9, 56), (57, 43), (58, 74), (49, 10), (65, 91), (37, 11), (1, 73), (75, 64), (83, 22)]",0.345,0.4726,0.359,0.4575,0.4785,0.4801,0.4726,0.4018,5
18,"[0.3, 0.15, 0.2, 0.35, 0.75, 0.15, 0.1, 1, 5]","[(57, 62), (97, 94), (13, 64), (48, 62), (56, 3), (22, 66), (28, 90), (73, 72), (67, 58), (32, 40), (15, 74), (88, 9), (69, 86), (23, 36), (80, 89), (74, 64), (74, 96), (76, 78), (48, 69), (69, 37)]",0.4311,0.5241,0.3735,0.5233,0.434,0.5267,0.5241,0.5216,5
19,"[0.15, 0.25, 0.1, 0.5, 0.55, 0.25, 0.2, 1, 5]","[(91, 91), (84, 60), (92, 44), (78, 43), (44, 92), (38, 78), (31, 71), (99, 84), (72, 62), (31, 64), (41, 28), (74, 32), (44, 54), (92, 42), (61, 6), (67, 36), (37, 43), (36, 87), (20, 59), (67, 3)]",0.5096,0.6297,0.5044,0.5199,0.5097,0.6306,0.6297,0.6297,5
20,"[0.2, 0.05, 0.0, 0.75, 0.65, 0.05, 0.3, 1, 5]","[(28, 64), (4, 88), (13, 30), (24, 22), (26, 41), (92, 65), (8, 80), (41, 6), (66, 92), (35, 61), (69, 33), (46, 27), (25, 55), (89, 70), (93, 77), (45, 9), (10, 81), (89, 55), (8, 52), (1, 98)]",0.4047,0.5769,0.4031,0.5497,0.4137,0.5777,0.5769,0.4761,5
