,Labels,Item sets
0,"[0.2, 0.15, 0.05, 0.6, 0.5, 0.1, 0.4, 1]","[(2, 4), (63, 8), (97, 3), (31, 40), (73, 54), (61, 86), (8, 55), (27, 1), (5, 85), (54, 30), (64, 81), (65, 84), (91, 18), (81, 73), (56, 48), (85, 28), (18, 76), (50, 9), (42, 93), (67, 51)]"
1,"[0.2, 0.15, 0.05, 0.6, 0.35, 0.2, 0.45, 1]","[(87, 13), (4, 81), (47, 86), (26, 38), (64, 90), (94, 79), (82, 45), (82, 14), (15, 33), (55, 21), (3, 26), (97, 28), (50, 9), (13, 25), (31, 31), (45, 42), (40, 41), (75, 51), (83, 75), (54, 95)]"
2,"[0.1, 0.1, 0.25, 0.55, 0.25, 0.2, 0.55, 1]","[(66, 19), (99, 93), (34, 94), (88, 86), (30, 15), (60, 42), (81, 22), (56, 38), (83, 31), (68, 45), (39, 28), (56, 26), (4, 20), (67, 10), (63, 73), (68, 6), (75, 41), (43, 81), (26, 11), (96, 19)]"
3,"[0.1, 0.3, 0.0, 0.6, 0.35, 0.15, 0.5, 1]","[(62, 78), (9, 39), (87, 4), (65, 16), (45, 81), (32, 27), (18, 4), (29, 12), (65, 69), (95, 43), (66, 87), (42, 18), (52, 24), (69, 73), (74, 10), (59, 58), (75, 33), (88, 18), (43, 80), (29, 48)]"
4,"[0.2, 0.2, 0.15, 0.45, 0.65, 0.2, 0.15, 1]","[(67, 59), (80, 96), (72, 34), (94, 90), (88, 6), (87, 18), (45, 96), (51, 48), (97, 43), (58, 57), (63, 73), (9, 79), (18, 92), (94, 89), (29, 93), (98, 61), (14, 97), (46, 22), (61, 54), (37, 38)]"
5,"[0.05, 0.0, 0.1, 0.85, 0.5, 0.2, 0.3, 1]","[(99, 7), (57, 12), (80, 65), (1, 66), (80, 24), (15, 66), (3, 75), (13, 63), (5, 67), (52, 44), (47, 28), (97, 18), (41, 39), (29, 97), (5, 49), (28, 79), (27, 63), (84, 38), (19, 67), (89, 6)]"
6,"[0.2, 0.25, 0.15, 0.4, 0.55, 0.25, 0.2, 1]","[(45, 75), (75, 27), (45, 62), (16, 43), (97, 38), (88, 52), (84, 94), (59, 45), (43, 13), (1, 37), (55, 67), (85, 34), (85, 68), (82, 98), (21, 33), (97, 66), (5, 67), (6, 54), (76, 19), (78, 63)]"
7,"[0.15, 0.3, 0.0, 0.55, 0.6, 0.15, 0.25, 1]","[(23, 45), (89, 28), (91, 51), (82, 79), (94, 81), (79, 62), (83, 99), (12, 34), (58, 72), (14, 70), (50, 80), (87, 55), (1, 99), (77, 26), (62, 31), (47, 98), (30, 50), (58, 29), (34, 68), (48, 6)]"
8,"[0.15, 0.0, 0.15, 0.7, 0.4, 0.25, 0.35, 1]","[(98, 26), (18, 15), (39, 42), (79, 20), (39, 45), (11, 60), (48, 65), (5, 80), (44, 26), (64, 40), (87, 81), (54, 38), (24, 85), (89, 64), (95, 72), (59, 37), (4, 57), (24, 33), (45, 4), (19, 32)]"
9,"[0.35, 0.1, 0.2, 0.35, 0.65, 0.1, 0.25, 1]","[(12, 67), (29, 7), (92, 96), (67, 15), (91, 70), (96, 90), (72, 97), (87, 49), (44, 74), (91, 78), (86, 32), (77, 83), (75, 42), (35, 91), (51, 79), (1, 60), (30, 3), (96, 2), (29, 64), (98, 71)]"
