,Labels,First Fit Score,First Fit Times,First Fit Decreasing Score,First Fit Decreasing Times,Next Fit Score,Next Fit Times,Next Fit Decreasing Score,Next Fit Decreasing Times,Best Fit Score,Best Fit Times,Best Fit Decreasing Score,Best Fit Decreasing Times,Djang-Fitch Score,Djang-Fitch Times
0,"(0, 1, 5, 24, 6, 7, 17)",0.41672162851766664,220000000,0.44445276513866655,194257000,0.293516534004,197670000,0.40355755399633336,131375000,0.4011041865083333,706318000,0.44502486063966656,873645000,0.44445276513866655,1092830000
1,"(0, 2, 3, 25, 9, 8, 13)",0.41364734948033327,161179000,0.5675340390675999,147430000,0.3644582195473333,171825000,0.5250632764464,154953000,0.41374430348033325,526243000,0.5675732934436001,528762000,0.5675340390675999,1009600000
2,"(0, 1, 3, 26, 5, 9, 16)",0.5907243400122,154732000,0.6070022150677999,151332000,0.4334794110208333,168812000,0.4236318829318333,187887000,0.5953542437534,440871000,0.615088775279,555687000,0.6070022150677999,1049601000
3,"(0, 2, 3, 25, 6, 5, 19)",0.36406283214216667,192773000,0.5298074412298,142275000,0.26257960598842855,193891000,0.5062867961569999,156742000,0.36406283214216667,365298000,0.5289837441241999,531675000,0.5298074412298,1171526000
4,"(0, 2, 3, 25, 8, 8, 14)",0.5823152648859999,166052000,0.5897019562364,152097000,0.4272012475296667,171814000,0.5923158721816,136847000,0.5823152648859999,499108000,0.5972644539772,640487000,0.5897019562364,1107797000
5,"(0, 3, 0, 27, 11, 3, 16)",0.32434722223533335,198655000,0.630832139275,141463000,0.29172450670033334,195299000,0.624975191547,131931000,0.31629078384566667,390451000,0.634606258741,477886000,0.630832139275,1413313000
6,"(0, 0, 3, 27, 6, 10, 14)",0.43941342322149995,177157000,0.5780771456874,174119000,0.3912494050325,169525000,0.42198783707216664,163530000,0.43941342322149995,366406000,0.577417667145,478648000,0.5780771456874,973928000
7,"(0, 1, 3, 26, 8, 9, 13)",0.34416411966099997,172500000,0.5658658159276,132989000,0.32812124561533335,179483000,0.4712666864284,137492000,0.33645585317666665,513596000,0.5658658159276,575793000,0.5658658159276,955417000
8,"(0, 1, 2, 27, 9, 9, 12)",0.4460706452351666,181466000,0.6408349032102,151799000,0.3300849478632856,180047000,0.49684839174083334,162633000,0.4787342619831667,415939000,0.6413004289814,389992000,0.6408349032102,1070205000
9,"(0, 1, 4, 25, 10, 6, 14)",0.48381455819460006,162107000,0.5132134512282001,136343000,0.34909594874250005,188825000,0.48314920985699994,148628000,0.485042971689,477664000,0.5197603930882,584543000,0.5132134512282001,919155000
