,Labels,Item sets,First Fit Times,First Fit Decreasing Times,Next Fit Times,Next Fit Decreasing Times,Best Fit Times,Best Fit Decreasing Times,Djang-Fitch Times,Djang-Fitch 2 Times
0,"[0.2, 0.15, 0.05, 0.6, 0.5, 0.1, 0.4, 1, 5]","[(2, 4), (63, 8), (97, 3), (31, 40), (73, 54), (61, 86), (8, 55), (27, 1), (5, 85), (54, 30), (64, 81), (65, 84), (91, 18), (81, 73), (56, 48), (85, 28), (18, 76), (50, 9), (42, 93), (67, 51)]",8.424999999999999,5.928999999999999,8.587,6.999,12.969,25.980999999999998,32.492999999999995,149.975
1,"[0.2, 0.15, 0.05, 0.6, 0.35, 0.2, 0.45, 1, 1]","[(87, 13), (4, 81), (47, 86), (26, 38), (64, 90), (94, 79), (82, 45), (82, 14), (15, 33), (55, 21), (3, 26), (97, 28), (50, 9), (13, 25), (31, 31), (45, 42), (40, 41), (75, 51), (83, 75), (54, 95)]",7.818,5.894,7.4799999999999995,6.425999999999999,13.716,20.794,29.389999999999997,123.484
2,"[0.1, 0.1, 0.25, 0.55, 0.25, 0.2, 0.55, 1, 7]","[(66, 19), (99, 93), (34, 94), (88, 86), (30, 15), (60, 42), (81, 22), (56, 38), (83, 31), (68, 45), (39, 28), (56, 26), (4, 20), (67, 10), (63, 73), (68, 6), (75, 41), (43, 81), (26, 11), (96, 19)]",6.585999999999999,6.89,6.326,5.741,14.219,13.290999999999999,23.895,42.463
3,"[0.1, 0.3, 0.0, 0.6, 0.35, 0.15, 0.5, 1, 5]","[(62, 78), (9, 39), (87, 4), (65, 16), (45, 81), (32, 27), (18, 4), (29, 12), (65, 69), (95, 43), (66, 87), (42, 18), (52, 24), (69, 73), (74, 10), (59, 58), (75, 33), (88, 18), (43, 80), (29, 48)]",6.536,6.0569999999999995,6.786,6.253,13.616,23.226,35.275,150.272
4,"[0.2, 0.2, 0.15, 0.45, 0.65, 0.2, 0.15, 1, 5]","[(67, 59), (80, 96), (72, 34), (94, 90), (88, 6), (87, 18), (45, 96), (51, 48), (97, 43), (58, 57), (63, 73), (9, 79), (18, 92), (94, 89), (29, 93), (98, 61), (14, 97), (46, 22), (61, 54), (37, 38)]",6.718,6.455,6.367,6.8469999999999995,10.905999999999999,10.894,25.182,79.922
5,"[0.05, 0.0, 0.1, 0.85, 0.5, 0.2, 0.3, 1, 1]","[(99, 7), (57, 12), (80, 65), (1, 66), (80, 24), (15, 66), (3, 75), (13, 63), (5, 67), (52, 44), (47, 28), (97, 18), (41, 39), (29, 97), (5, 49), (28, 79), (27, 63), (84, 38), (19, 67), (89, 6)]",7.255,5.918,6.544,5.601,9.1,8.995,22.503999999999998,38.943
6,"[0.2, 0.25, 0.15, 0.4, 0.55, 0.25, 0.2, 1, 5]","[(45, 75), (75, 27), (45, 62), (16, 43), (97, 38), (88, 52), (84, 94), (59, 45), (43, 13), (1, 37), (55, 67), (85, 34), (85, 68), (82, 98), (21, 33), (97, 66), (5, 67), (6, 54), (76, 19), (78, 63)]",6.387,6.25,6.3149999999999995,5.975,14.927,20.759,27.633,91.688
7,"[0.15, 0.3, 0.0, 0.55, 0.6, 0.15, 0.25, 1, 5]","[(23, 45), (89, 28), (91, 51), (82, 79), (94, 81), (79, 62), (83, 99), (12, 34), (58, 72), (14, 70), (50, 80), (87, 55), (1, 99), (77, 26), (62, 31), (47, 98), (30, 50), (58, 29), (34, 68), (48, 6)]",7.0889999999999995,6.3469999999999995,6.484,7.106999999999999,15.895999999999999,15.558,28.945,81.506
8,"[0.15, 0.0, 0.15, 0.7, 0.4, 0.25, 0.35, 1, 5]","[(98, 26), (18, 15), (39, 42), (79, 20), (39, 45), (11, 60), (48, 65), (5, 80), (44, 26), (64, 40), (87, 81), (54, 38), (24, 85), (89, 64), (95, 72), (59, 37), (4, 57), (24, 33), (45, 4), (19, 32)]",7.189,6.821,7.734999999999999,6.194,14.482,15.606,28.395,71.17699999999999
9,"[0.35, 0.1, 0.2, 0.35, 0.65, 0.1, 0.25, 1, 5]","[(12, 67), (29, 7), (92, 96), (67, 15), (91, 70), (96, 90), (72, 97), (87, 49), (44, 74), (91, 78), (86, 32), (77, 83), (75, 42), (35, 91), (51, 79), (1, 60), (30, 3), (96, 2), (29, 64), (98, 71)]",7.917,6.835999999999999,8.475,7.223999999999999,18.218999999999998,24.993,23.294999999999998,86.96499999999999
